timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629965402177,1668,HTTP Request,200,OK,Thread Group 1-1,text,true,,1168687,130,4,4,https://test.bestviewsreviews.com/,1320,0,386
1629965402551,1620,HTTP Request,200,OK,Thread Group 1-2,text,true,,1168487,130,5,5,https://test.bestviewsreviews.com/,1258,0,101
1629965403047,1979,HTTP Request,200,OK,Thread Group 1-3,text,true,,1168502,130,6,6,https://test.bestviewsreviews.com/,1288,0,153
1629965403545,1619,HTTP Request,200,OK,Thread Group 1-4,text,true,,1168421,130,7,7,https://test.bestviewsreviews.com/,1321,0,60
1629965403849,1379,HTTP Request,200,OK,Thread Group 1-1,text,true,,1168436,130,7,7,https://test.bestviewsreviews.com/,1337,0,0
1629965404046,1715,HTTP Request,200,OK,Thread Group 1-5,text,true,,1168609,130,8,8,https://test.bestviewsreviews.com/,1477,0,25
1629965404172,1663,HTTP Request,200,OK,Thread Group 1-2,text,true,,1168555,130,8,8,https://test.bestviewsreviews.com/,1630,0,0
1629965404547,2036,HTTP Request,200,OK,Thread Group 1-6,text,true,,1168427,130,10,10,https://test.bestviewsreviews.com/,1785,0,20
1629965405027,2297,HTTP Request,200,OK,Thread Group 1-3,text,true,,1168609,130,11,11,https://test.bestviewsreviews.com/,2253,0,0
1629965405045,2669,HTTP Request,200,OK,Thread Group 1-7,text,true,,1168487,130,12,12,https://test.bestviewsreviews.com/,2613,0,19
1629965405228,3522,HTTP Request,200,OK,Thread Group 1-1,text,true,,1168553,130,14,14,https://test.bestviewsreviews.com/,2537,0,0
1629965405543,3467,HTTP Request,200,OK,Thread Group 1-8,text,true,,1168624,130,14,14,https://test.bestviewsreviews.com/,2992,0,22
1629965405761,3289,HTTP Request,200,OK,Thread Group 1-5,text,true,,1168442,130,15,15,https://test.bestviewsreviews.com/,3032,0,0
1629965405836,3217,HTTP Request,200,OK,Thread Group 1-2,text,true,,1168442,130,15,15,https://test.bestviewsreviews.com/,2968,0,0
1629965405164,3978,HTTP Request,200,OK,Thread Group 1-4,text,true,,1168493,130,15,15,https://test.bestviewsreviews.com/,2601,0,0
1629965406584,3220,HTTP Request,200,OK,Thread Group 1-6,text,true,,1168421,130,16,16,https://test.bestviewsreviews.com/,3194,0,0
1629965406043,3897,HTTP Request,200,OK,Thread Group 1-9,text,true,,1168421,130,16,16,https://test.bestviewsreviews.com/,3215,0,16
1629965406554,3524,HTTP Request,200,OK,Thread Group 1-10,text,true,,1168481,130,17,17,https://test.bestviewsreviews.com/,3467,0,17
1629965407325,4093,HTTP Request,200,OK,Thread Group 1-3,text,true,,1168421,130,19,19,https://test.bestviewsreviews.com/,4076,0,0
1629965407715,3901,HTTP Request,200,OK,Thread Group 1-7,text,true,,1168556,130,20,20,https://test.bestviewsreviews.com/,3873,0,0
1629965407542,4299,HTTP Request,200,OK,Thread Group 1-12,text,true,,1168427,130,20,20,https://test.bestviewsreviews.com/,4253,0,17
1629965407053,4939,HTTP Request,200,OK,Thread Group 1-11,text,true,,1168370,130,20,20,https://test.bestviewsreviews.com/,4889,0,17
1629965408042,4131,HTTP Request,200,OK,Thread Group 1-13,text,true,,1168370,130,21,21,https://test.bestviewsreviews.com/,4081,0,15
1629965408541,5840,HTTP Request,200,OK,Thread Group 1-14,text,true,,1168556,130,25,25,https://test.bestviewsreviews.com/,5790,0,16
1629965409051,5414,HTTP Request,200,OK,Thread Group 1-5,text,true,,1168609,130,25,25,https://test.bestviewsreviews.com/,5391,0,0
